graph_type,size,objective_value,time_ms,iterations,branch_and_bound_nodes
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,139079,0,0
Binomial Graph (50%),100,7.0,19959,0,0
Binomial Graph (80%),100,4.0,275,0,0
Complete,100,2.0,114,0,0
Star,100,2.0,14,0,0
Cycle,100,67.0,80,0,0
Path,100,67.0,74,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,77326,0,0
Binomial Graph (50%),100,6.0,7492,0,0
Binomial Graph (80%),100,4.0,327,0,0
Complete,100,2.0,113,0,0
Star,100,2.0,13,0,0
Cycle,100,67.0,77,0,0
Path,100,67.0,74,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,11.0,1527095,0,0
Binomial Graph (50%),100,7.0,16193,0,0
Binomial Graph (80%),100,4.0,346,0,0
Complete,100,2.0,102,0,0
Star,100,2.0,13,0,0
Cycle,100,67.0,83,0,0
Path,100,67.0,72,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,55036,0,0
Binomial Graph (50%),100,6.0,11309,0,0
Binomial Graph (80%),100,4.0,307,0,0
Complete,100,2.0,113,0,0
Star,100,2.0,21,0,0
Cycle,100,67.0,87,0,0
Path,100,67.0,75,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,11.0,1945685,0,0
Binomial Graph (50%),100,6.0,9555,0,0
Binomial Graph (80%),100,4.0,318,0,0
Complete,100,2.0,107,0,0
Star,100,2.0,17,0,0
Cycle,100,67.0,90,0,0
Path,100,67.0,80,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,11.0,1065961,0,0
Binomial Graph (50%),100,8.0,57761,0,0
Binomial Graph (80%),100,4.0,300,0,0
Complete,100,2.0,103,0,0
Star,100,2.0,12,0,0
Cycle,100,67.0,82,0,0
Path,100,67.0,105,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,67797,0,0
Binomial Graph (50%),100,6.0,13080,0,0
Binomial Graph (80%),100,4.0,319,0,0
Complete,100,2.0,107,0,0
Star,100,2.0,12,0,0
Cycle,100,67.0,80,0,0
Path,100,67.0,76,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,11.0,1864974,0,0
Binomial Graph (50%),100,6.0,3327,0,0
Binomial Graph (80%),100,4.0,343,0,0
Complete,100,2.0,103,0,0
Star,100,2.0,12,0,0
Cycle,100,67.0,83,0,0
Path,100,67.0,92,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,121030,0,0
Binomial Graph (50%),100,7.0,17240,0,0
Binomial Graph (80%),100,4.0,296,0,0
Complete,100,2.0,102,0,0
Star,100,2.0,11,0,0
Cycle,100,67.0,84,0,0
Path,100,67.0,72,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,11.0,527815,0,0
Binomial Graph (50%),100,7.0,20464,0,0
Binomial Graph (80%),100,4.0,314,0,0
Complete,100,2.0,103,0,0
Star,100,2.0,13,0,0
Cycle,100,67.0,80,0,0
Path,100,67.0,75,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,131342,0,0
Binomial Graph (50%),100,6.0,8043,0,0
Binomial Graph (80%),100,4.0,347,0,0
Complete,100,2.0,108,0,0
Star,100,2.0,13,0,0
Cycle,100,67.0,80,0,0
Path,100,67.0,76,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,247153,0,0
Binomial Graph (50%),100,7.0,20909,0,0
Binomial Graph (80%),100,4.0,313,0,0
Complete,100,2.0,103,0,0
Star,100,2.0,13,0,0
Cycle,100,67.0,76,0,0
Path,100,67.0,74,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,11.0,1013016,0,0
Binomial Graph (50%),100,7.0,18080,0,0
Binomial Graph (80%),100,4.0,289,0,0
Complete,100,2.0,103,0,0
Star,100,2.0,12,0,0
Cycle,100,67.0,82,0,0
Path,100,67.0,75,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,11.0,1810485,0,0
Binomial Graph (50%),100,7.0,28662,0,0
Binomial Graph (80%),100,4.0,316,0,0
Complete,100,2.0,109,0,0
Star,100,2.0,13,0,0
Cycle,100,67.0,85,0,0
Path,100,67.0,73,0,0
Binomial Tree,16,12.0,8,0,0
Binomial Graph (30%),100,10.0,165685,0,0
Binomial Graph (50%),100,7.0,18137,0,0
Binomial Graph (80%),100,4.0,317,0,0
Complete,100,2.0,100,0,0
Star,100,2.0,13,0,0
Cycle,100,67.0,85,0,0
Path,100,67.0,75,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,191512,0,0
Binomial Graph (50%),100,7.0,67404,0,0
Binomial Graph (80%),100,4.0,311,0,0
Complete,100,2.0,103,0,0
Star,100,2.0,13,0,0
Cycle,100,67.0,88,0,0
Path,100,67.0,71,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,11.0,1784922,0,0
Binomial Graph (50%),100,7.0,18143,0,0
Binomial Graph (80%),100,4.0,337,0,0
Complete,100,2.0,103,0,0
Star,100,2.0,12,0,0
Cycle,100,67.0,81,0,0
Path,100,67.0,75,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,155030,0,0
Binomial Graph (50%),100,7.0,20621,0,0
Binomial Graph (80%),100,4.0,345,0,0
Complete,100,2.0,161,0,0
Star,100,2.0,17,0,0
Cycle,100,67.0,112,0,0
Path,100,67.0,72,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,120255,0,0
Binomial Graph (50%),100,6.0,9058,0,0
Binomial Graph (80%),100,4.0,306,0,0
Complete,100,2.0,103,0,0
Star,100,2.0,15,0,0
Cycle,100,67.0,96,0,0
Path,100,67.0,76,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,11.0,2561838,0,0
Binomial Graph (50%),100,7.0,22289,0,0
Binomial Graph (80%),100,4.0,340,0,0
Complete,100,2.0,102,0,0
Star,100,2.0,13,0,0
Cycle,100,67.0,82,0,0
Path,100,67.0,79,0,0
Binomial Tree,16,12.0,6,0,0
Binomial Graph (30%),100,11.0,239334,0,0
Binomial Graph (50%),100,7.0,21719,0,0
Binomial Graph (80%),100,4.0,314,0,0
Complete,100,2.0,103,0,0
Star,100,2.0,11,0,0
Cycle,100,67.0,77,0,0
Path,100,67.0,77,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,138582,0,0
Binomial Graph (50%),100,7.0,20783,0,0
Binomial Graph (80%),100,4.0,310,0,0
Complete,100,2.0,109,0,0
Star,100,2.0,15,0,0
Cycle,100,67.0,77,0,0
Path,100,67.0,70,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,70150,0,0
Binomial Graph (50%),100,7.0,18652,0,0
Binomial Graph (80%),100,4.0,326,0,0
Complete,100,2.0,100,0,0
Star,100,2.0,14,0,0
Cycle,100,67.0,96,0,0
Path,100,67.0,74,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,58827,0,0
Binomial Graph (50%),100,6.0,16112,0,0
Binomial Graph (80%),100,4.0,321,0,0
Complete,100,2.0,99,0,0
Star,100,2.0,11,0,0
Cycle,100,67.0,78,0,0
Path,100,67.0,75,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,196166,0,0
Binomial Graph (50%),100,7.0,12312,0,0
Binomial Graph (80%),100,4.0,318,0,0
Complete,100,2.0,114,0,0
Star,100,2.0,13,0,0
Cycle,100,67.0,82,0,0
Path,100,67.0,75,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,275319,0,0
Binomial Graph (50%),100,8.0,98802,0,0
Binomial Graph (80%),100,4.0,302,0,0
Complete,100,2.0,114,0,0
Star,100,2.0,13,0,0
Cycle,100,67.0,79,0,0
Path,100,67.0,71,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,118445,0,0
Binomial Graph (50%),100,7.0,10269,0,0
Binomial Graph (80%),100,4.0,240,0,0
Complete,100,2.0,106,0,0
Star,100,2.0,26,0,0
Cycle,100,67.0,154,0,0
Path,100,67.0,76,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,123951,0,0
Binomial Graph (50%),100,7.0,16256,0,0
Binomial Graph (80%),100,4.0,316,0,0
Complete,100,2.0,108,0,0
Star,100,2.0,12,0,0
Cycle,100,67.0,80,0,0
Path,100,67.0,71,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,121952,0,0
Binomial Graph (50%),100,7.0,72075,0,0
Binomial Graph (80%),100,4.0,292,0,0
Complete,100,2.0,124,0,0
Star,100,2.0,13,0,0
Cycle,100,67.0,84,0,0
Path,100,67.0,75,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,103149,0,0
Binomial Graph (50%),100,6.0,6781,0,0
Binomial Graph (80%),100,4.0,331,0,0
Complete,100,2.0,102,0,0
Star,100,2.0,13,0,0
Cycle,100,67.0,83,0,0
Path,100,67.0,75,0,0
Binomial Tree,16,12.0,6,0,0
Binomial Graph (30%),100,10.0,238212,0,0
Binomial Graph (50%),100,6.0,10840,0,0
Binomial Graph (80%),100,4.0,267,0,0
Complete,100,2.0,106,0,0
Star,100,2.0,12,0,0
Cycle,100,67.0,80,0,0
Path,100,67.0,74,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,11.0,821132,0,0
Binomial Graph (50%),100,7.0,20488,0,0
Binomial Graph (80%),100,4.0,800,0,0
Complete,100,2.0,162,0,0
Star,100,2.0,21,0,0
Cycle,100,67.0,90,0,0
Path,100,67.0,140,0,0
Binomial Tree,16,12.0,6,0,0
Binomial Graph (30%),100,10.0,201550,0,0
Binomial Graph (50%),100,7.0,21211,0,0
Binomial Graph (80%),100,4.0,710,0,0
Complete,100,2.0,105,0,0
Star,100,2.0,13,0,0
Cycle,100,67.0,77,0,0
Path,100,67.0,122,0,0
Binomial Tree,16,12.0,7,0,0
Binomial Graph (30%),100,11.0,500145,0,0
Binomial Graph (50%),100,7.0,13380,0,0
Binomial Graph (80%),100,4.0,311,0,0
Complete,100,2.0,104,0,0
Star,100,2.0,13,0,0
Cycle,100,67.0,80,0,0
Path,100,67.0,77,0,0
Binomial Tree,16,12.0,8,0,0
Binomial Graph (30%),100,11.0,1923125,0,0
Binomial Graph (50%),100,6.0,7683,0,0
Binomial Graph (80%),100,4.0,320,0,0
Complete,100,2.0,102,0,0
Star,100,2.0,13,0,0
Cycle,100,67.0,139,0,0
Path,100,67.0,75,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,90968,0,0
Binomial Graph (50%),100,8.0,111195,0,0
Binomial Graph (80%),100,4.0,338,0,0
Complete,100,2.0,103,0,0
Star,100,2.0,12,0,0
Cycle,100,67.0,79,0,0
Path,100,67.0,85,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,111481,0,0
Binomial Graph (50%),100,7.0,51538,0,0
Binomial Graph (80%),100,4.0,294,0,0
Complete,100,2.0,110,0,0
Star,100,2.0,15,0,0
Cycle,100,67.0,77,0,0
Path,100,67.0,70,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,152166,0,0
Binomial Graph (50%),100,6.0,20341,0,0
Binomial Graph (80%),100,4.0,293,0,0
Complete,100,2.0,103,0,0
Star,100,2.0,13,0,0
Cycle,100,67.0,77,0,0
Path,100,67.0,74,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,139810,0,0
Binomial Graph (50%),100,6.0,8085,0,0
Binomial Graph (80%),100,4.0,312,0,0
Complete,100,2.0,102,0,0
Star,100,2.0,12,0,0
Cycle,100,67.0,78,0,0
Path,100,67.0,74,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,134095,0,0
Binomial Graph (50%),100,6.0,4092,0,0
Binomial Graph (80%),100,4.0,353,0,0
Complete,100,2.0,106,0,0
Star,100,2.0,13,0,0
Cycle,100,67.0,80,0,0
Path,100,67.0,75,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,193446,0,0
Binomial Graph (50%),100,8.0,99259,0,0
Binomial Graph (80%),100,4.0,320,0,0
Complete,100,2.0,102,0,0
Star,100,2.0,12,0,0
Cycle,100,67.0,77,0,0
Path,100,67.0,76,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,11.0,1269261,0,0
Binomial Graph (50%),100,7.0,14876,0,0
Binomial Graph (80%),100,4.0,311,0,0
Complete,100,2.0,102,0,0
Star,100,2.0,12,0,0
Cycle,100,67.0,80,0,0
Path,100,67.0,72,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,108126,0,0
Binomial Graph (50%),100,6.0,3884,0,0
Binomial Graph (80%),100,4.0,328,0,0
Complete,100,2.0,102,0,0
Star,100,2.0,11,0,0
Cycle,100,67.0,80,0,0
Path,100,67.0,72,0,0
Binomial Tree,16,12.0,6,0,0
Binomial Graph (30%),100,10.0,161198,0,0
Binomial Graph (50%),100,7.0,18609,0,0
Binomial Graph (80%),100,4.0,340,0,0
Complete,100,2.0,102,0,0
Star,100,2.0,13,0,0
Cycle,100,67.0,76,0,0
Path,100,67.0,77,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,11.0,988548,0,0
Binomial Graph (50%),100,7.0,16315,0,0
Binomial Graph (80%),100,4.0,305,0,0
Complete,100,2.0,100,0,0
Star,100,2.0,11,0,0
Cycle,100,67.0,82,0,0
Path,100,67.0,76,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,11.0,828001,0,0
Binomial Graph (50%),100,6.0,8368,0,0
Binomial Graph (80%),100,4.0,309,0,0
Complete,100,2.0,106,0,0
Star,100,2.0,11,0,0
Cycle,100,67.0,81,0,0
Path,100,67.0,75,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,139266,0,0
Binomial Graph (50%),100,7.0,24968,0,0
Binomial Graph (80%),100,4.0,298,0,0
Complete,100,2.0,132,0,0
Star,100,2.0,13,0,0
Cycle,100,67.0,81,0,0
Path,100,67.0,82,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,151892,0,0
Binomial Graph (50%),100,7.0,32092,0,0
Binomial Graph (80%),100,4.0,352,0,0
Complete,100,2.0,105,0,0
Star,100,2.0,12,0,0
Cycle,100,67.0,85,0,0
Path,100,67.0,75,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,257169,0,0
Binomial Graph (50%),100,7.0,18628,0,0
Binomial Graph (80%),100,4.0,322,0,0
Complete,100,2.0,103,0,0
Star,100,2.0,12,0,0
Cycle,100,67.0,80,0,0
Path,100,67.0,74,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,97404,0,0
Binomial Graph (50%),100,6.0,9699,0,0
Binomial Graph (80%),100,4.0,285,0,0
Complete,100,2.0,105,0,0
Star,100,2.0,13,0,0
Cycle,100,67.0,81,0,0
Path,100,67.0,78,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,140123,0,0
Binomial Graph (50%),100,7.0,21576,0,0
Binomial Graph (80%),100,4.0,336,0,0
Complete,100,2.0,103,0,0
Star,100,2.0,12,0,0
Cycle,100,67.0,82,0,0
Path,100,67.0,74,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,12.0,4100940,0,0
Binomial Graph (50%),100,8.0,79645,0,0
Binomial Graph (80%),100,4.0,366,0,0
Complete,100,2.0,105,0,0
Star,100,2.0,13,0,0
Cycle,100,67.0,81,0,0
Path,100,67.0,74,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,82169,0,0
Binomial Graph (50%),100,7.0,24443,0,0
Binomial Graph (80%),100,4.0,256,0,0
Complete,100,2.0,102,0,0
Star,100,2.0,16,0,0
Cycle,100,67.0,78,0,0
Path,100,67.0,75,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,11.0,851792,0,0
Binomial Graph (50%),100,6.0,9533,0,0
Binomial Graph (80%),100,4.0,297,0,0
Complete,100,2.0,106,0,0
Star,100,2.0,13,0,0
Cycle,100,67.0,76,0,0
Path,100,67.0,75,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,153322,0,0
Binomial Graph (50%),100,7.0,20203,0,0
Binomial Graph (80%),100,4.0,294,0,0
Complete,100,2.0,102,0,0
Star,100,2.0,11,0,0
Cycle,100,67.0,81,0,0
Path,100,67.0,75,0,0
Binomial Tree,16,12.0,7,0,0
Binomial Graph (30%),100,10.0,49028,0,0
Binomial Graph (50%),100,7.0,23083,0,0
Binomial Graph (80%),100,4.0,256,0,0
Complete,100,2.0,103,0,0
Star,100,2.0,13,0,0
Cycle,100,67.0,83,0,0
Path,100,67.0,76,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,124200,0,0
Binomial Graph (50%),100,7.0,39176,0,0
Binomial Graph (80%),100,4.0,294,0,0
Complete,100,2.0,102,0,0
Star,100,2.0,16,0,0
Cycle,100,67.0,77,0,0
Path,100,67.0,74,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,178025,0,0
Binomial Graph (50%),100,6.0,6477,0,0
Binomial Graph (80%),100,4.0,309,0,0
Complete,100,2.0,103,0,0
Star,100,2.0,13,0,0
Cycle,100,67.0,80,0,0
Path,100,67.0,75,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,98133,0,0
Binomial Graph (50%),100,7.0,22164,0,0
Binomial Graph (80%),100,4.0,311,0,0
Complete,100,2.0,103,0,0
Star,100,2.0,13,0,0
Cycle,100,67.0,80,0,0
Path,100,67.0,72,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,335596,0,0
Binomial Graph (50%),100,6.0,7304,0,0
Binomial Graph (80%),100,4.0,334,0,0
Complete,100,2.0,115,0,0
Star,100,2.0,13,0,0
Cycle,100,67.0,78,0,0
Path,100,67.0,74,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,152970,0,0
Binomial Graph (50%),100,7.0,78049,0,0
Binomial Graph (80%),100,4.0,330,0,0
Complete,100,2.0,103,0,0
Star,100,2.0,15,0,0
Cycle,100,67.0,80,0,0
Path,100,67.0,89,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,160464,0,0
Binomial Graph (50%),100,7.0,16098,0,0
Binomial Graph (80%),100,4.0,300,0,0
Complete,100,2.0,106,0,0
Star,100,2.0,13,0,0
Cycle,100,67.0,82,0,0
Path,100,67.0,82,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,11.0,761227,0,0
Binomial Graph (50%),100,7.0,17874,0,0
Binomial Graph (80%),100,4.0,260,0,0
Complete,100,2.0,103,0,0
Star,100,2.0,14,0,0
Cycle,100,67.0,80,0,0
Path,100,67.0,76,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,135455,0,0
Binomial Graph (50%),100,7.0,18549,0,0
Binomial Graph (80%),100,4.0,331,0,0
Complete,100,2.0,106,0,0
Star,100,2.0,13,0,0
Cycle,100,67.0,81,0,0
Path,100,67.0,71,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,11.0,1858884,0,0
Binomial Graph (50%),100,7.0,21326,0,0
Binomial Graph (80%),100,4.0,246,0,0
Complete,100,2.0,109,0,0
Star,100,2.0,11,0,0
Cycle,100,67.0,80,0,0
Path,100,67.0,72,0,0
Binomial Tree,16,12.0,7,0,0
Binomial Graph (30%),100,10.0,182261,0,0
Binomial Graph (50%),100,7.0,79328,0,0
Binomial Graph (80%),100,4.0,334,0,0
Complete,100,2.0,104,0,0
Star,100,2.0,13,0,0
Cycle,100,67.0,80,0,0
Path,100,67.0,77,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,247362,0,0
Binomial Graph (50%),100,7.0,18151,0,0
Binomial Graph (80%),100,4.0,325,0,0
Complete,100,2.0,112,0,0
Star,100,2.0,13,0,0
Cycle,100,67.0,80,0,0
Path,100,67.0,80,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,163689,0,0
Binomial Graph (50%),100,7.0,15156,0,0
Binomial Graph (80%),100,4.0,282,0,0
Complete,100,2.0,102,0,0
Star,100,2.0,12,0,0
Cycle,100,67.0,80,0,0
Path,100,67.0,74,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,37632,0,0
Binomial Graph (50%),100,7.0,16067,0,0
Binomial Graph (80%),100,4.0,268,0,0
Complete,100,2.0,103,0,0
Star,100,2.0,11,0,0
Cycle,100,67.0,88,0,0
Path,100,67.0,77,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,106325,0,0
Binomial Graph (50%),100,7.0,22166,0,0
Binomial Graph (80%),100,4.0,310,0,0
Complete,100,2.0,105,0,0
Star,100,2.0,12,0,0
Cycle,100,67.0,81,0,0
